#,id,address,city,street_with_building,apartment_number,rooms,area_m2,price,price_m2,link,img_url,created_at
227,830423,"Rabaveere tn 3/1, Nõmme",Tallinn,Rabaveere tn 3/1,,3,79,409760,5200,https://kinnisvara24.ee/korter-muuk-tallinn/240830423,https://src.kv24.ee/uploads/a1/images/c2124c07-c83c-4adc-9ffb-756c42613b5a.jpg,2025-01-17T11:25:40.000000+02:00
228,830045,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Tööstuse tn 81",Tallinn,Tööstuse tn 81,,3,49,110000,2244.9,https://kinnisvara24.ee/korter-muuk-tallinn/240830045,https://src.kv24.ee/uploads/a1/images/2fa95936-bb10-41b6-8305-d4ad1727c6cd.jpg,2025-01-15T12:25:07.000000+02:00
229,830035,"Padriku tn 4/3, Pirita linnaosa, Tallinn, Harju maakond",Tallinn,Padriku tee 4/3,14,3,95,219000,2295.6,https://kinnisvara24.ee/korter-muuk-tallinn/240830035,https://src.kv24.ee/uploads/a1/images/8aa72014-c994-4316-b511-91e6e0f65e11.jpg,2025-01-15T11:56:38.000000+02:00
230,829573,"Padriku tee 7/2, Pirita",Tallinn,Padriku tee 7/2,,3,88,249000,2829.55,https://kinnisvara24.ee/korter-muuk-tallinn/240829573,https://src.kv24.ee/uploads/a1/images/baa68e87-ca25-4b59-a2cf-b1f5d293ba05.jpg,2025-01-14T15:45:57.000000+02:00
231,829301,"Harju maakond, Tallinn, Kesklinna linnaosa, Liivaoja tn 10/2",Tallinn,Liivaoja tn 10/2,38,2,57,780,13.68,https://kinnisvara24.ee/korter-muuk-tallinn/240829301,https://src.kv24.ee/uploads/a1/images/06c34ea2-1098-4422-b3ca-8739bb0ec6f9.jpg,2025-01-13T13:16:45.000000+02:00
232,796297,"Harju maakond, Tallinn, Haabersti linnaosa, Lesta tn 10/2",Tallinn,Lesta tn 10/2,,3,89,369900,4146.86,https://kinnisvara24.ee/korter-muuk-tallinn/240796297,https://src.kv24.ee/uploads/a1/images/33106dcd-b27a-4d72-91a1-effa437c6887.jpg,2025-03-01T08:27:15.000000+02:00
233,828219,"Uus-Volta 12/3, Põhja-Tallinn",Tallinn,Uus-Volta 12/3,,2,49,249900,5141.98,https://kinnisvara24.ee/korter-muuk-tallinn/240828219,https://src.kv24.ee/uploads/a1/images/c72d4940-d323-4bf4-9648-90db9e0dfe9b.jpg,2025-01-06T14:35:19.000000+02:00
234,827748,"Harju maakond, Tallinn, Pirita linnaosa, Kloostrimetsa tee 70-8",Tallinn,Kloostrimetsa tee 70,8,3,72,371800,5200,https://kinnisvara24.ee/korter-muuk-tallinn/240827748,https://src.kv24.ee/uploads/a1/images/f88fab13-d60a-4d0d-a041-fd455575f231.jpg,2025-01-03T00:40:56.000000+02:00
235,827732,"Harju maakond, Tallinn, Pirita linnaosa, Kloostrimetsa tee 72-1",Tallinn,Kloostrimetsa tee 72,1,4,89,477900,5400,https://kinnisvara24.ee/korter-muuk-tallinn/240827732,https://src.kv24.ee/uploads/a1/images/724932d0-8a3a-483e-816e-3a89e6fb0c7e.jpg,2025-01-02T20:03:43.000000+02:00
236,827723,"Harju maakond, Tallinn, Pirita linnaosa, Kloostrimetsa tee 72-2",Tallinn,Kloostrimetsa tee 72,2,4,89,460200,5200,https://kinnisvara24.ee/korter-muuk-tallinn/240827723,https://src.kv24.ee/uploads/a1/images/3eb67ea9-4359-41fa-94fb-b246891d2144.jpg,2025-01-02T18:05:05.000000+02:00
237,827696,"Harju maakond, Tallinn, Pirita linnaosa, Kloostrimetsa tee 72-5",Tallinn,Kloostrimetsa tee 72,5,4,89,460200,5200,https://kinnisvara24.ee/korter-muuk-tallinn/240827696,https://src.kv24.ee/uploads/a1/images/5182e765-51c6-41f4-a307-b552b8969143.jpg,2025-01-02T16:26:51.000000+02:00
238,827692,"Harju maakond, Tallinn, Pirita linnaosa, Kloostrimetsa tee 70-1",Tallinn,Kloostrimetsa tee 70,1,4,89,477900,5400,https://kinnisvara24.ee/korter-muuk-tallinn/240827692,https://src.kv24.ee/uploads/a1/images/68ff90ae-8cd0-4e2c-a97b-3b8a7ab2826b.jpg,2025-01-02T15:58:10.000000+02:00
239,827686,"Harju maakond, Tallinn, Pirita linnaosa, Kloostrimetsa tee 70-3",Tallinn,Kloostrimetsa tee 70,3,3,71,370760,5200,https://kinnisvara24.ee/korter-muuk-tallinn/240827686,https://src.kv24.ee/uploads/a1/images/29ec1c76-88a4-4f36-9053-f03069f2e1e8.jpg,2025-01-02T15:37:05.000000+02:00
240,826524,"Harju maakond, Tallinn, Pirita linnaosa, Ranna tee 46a/3",Tallinn,Ranna tee 46a/3,,5,105,420000,4019.14,https://kinnisvara24.ee/korter-muuk-tallinn/240826524,https://src.kv24.ee/uploads/a1/images/cdaaaa76-4607-4af8-8b1b-315195c6dedc.jpg,2024-12-20T15:28:56.000000+02:00
241,826244,"Rabaveere 3/1, Nõmme linnaosa, Tallinn, Harju maakond",Tallinn,Rabaveere tn 3/1,,3,79,410800,5200,https://kinnisvara24.ee/korter-muuk-tallinn/240826244,https://src.kv24.ee/uploads/a1/images/5ad31c9d-4551-4165-aa23-74155e764c7e.jpg,2024-12-18T17:25:20.000000+02:00
242,825986,"P.Pinna 17, Lasnamäe linnaosa, Tallinn, Harju maakond",Tallinn,P. Pinna tn 17,,3,66,125000,1885.37,https://kinnisvara24.ee/korter-muuk-tallinn/240825986,https://src.kv24.ee/uploads/a1/images/b3b75556-2d51-4537-abd7-7d61e7b7340d.jpg,2024-12-17T15:25:19.000000+02:00
243,825918,", Nõmme linnaosa, Tallinn, Harju maakond",Tallinn,"",,0,0,300000,0,https://kinnisvara24.ee/korter-muuk-tallinn/240825918,https://src.kv24.ee/uploads/a1/images/f9ed428a-b546-4fcf-91db-7e8be483f38b.jpg,2024-12-17T10:25:12.000000+02:00
244,819099,"Väike-Patarei tn 1/3, Põhja-Tallinn",Tallinn,Väike-Patarei tn 1/3,,2,52,289900,5553.64,https://kinnisvara24.ee/korter-muuk-tallinn/240819099,https://src.kv24.ee/uploads/a1/images/6d68ad5f-7028-4dc5-8d27-81880dfd6c3b.jpg,2024-11-06T18:45:35.000000+02:00
245,825642,"Harju maakond, Tallinn, Mustamäe linnaosa, Sääse tn 1",Tallinn,Sääse tn 1,,2,43,110000,2540.42,https://kinnisvara24.ee/korter-muuk-tallinn/240825642,https://src.kv24.ee/uploads/a1/images/b0b10df3-a414-4416-a682-2ee2fccdcfe4.jpg,2024-12-15T14:12:35.000000+02:00
246,838403,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Salme tn 36/1",Tallinn,Salme tn 36/1,1,1,24,89910,3700,https://kinnisvara24.ee/korter-muuk-tallinn/240838403,https://src.kv24.ee/uploads/a1/images/7eca378b-2e5e-4732-86db-703227a5f0a2.jpg,2024-12-14T19:09:33.000000+02:00
247,825442,"Vana-Rannamõisa tee 1f/3, Haabersti linnaosa, Tallinn, Harju maakond",Tallinn,Vana-Rannamõisa tee 1f/3,7,2,53,150000,2857.14,https://kinnisvara24.ee/korter-muuk-tallinn/240825442,https://src.kv24.ee/uploads/a1/images/5921be2c-45e6-42f5-b45d-0f253c7fe616.jpg,2024-12-12T23:55:22.000000+02:00
248,825138,", Mustamäe linnaosa, Tallinn, Harju maakond",Tallinn,"",,0,0,150000,0,https://kinnisvara24.ee/korter-muuk-tallinn/240825138,https://src.kv24.ee/uploads/a1/images/79f70e85-95ed-4700-9caa-17ecf171d214.jpg,2024-12-11T13:25:17.000000+02:00
249,824327,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Helme tn 13b",Tallinn,Helme tn 13b,,2,54,189000,3532.71,https://kinnisvara24.ee/korter-muuk-tallinn/240824327,https://src.kv24.ee/uploads/a1/images/0660672a-0ed0-4d0f-88c5-4df2ce224908.jpg,2024-12-05T19:35:28.000000+02:00
