#,id,address,city,street_with_building,apartment_number,rooms,area_m2,price,price_m2,link,img_url,object_important_note,date_published,floor,total_floors,year_built,latitude,longitude
1656,4818120,"Tallinn, Lasnamäe linnaosa, Virbi tn-4",Tallinn,Virbi tn 4,,3,52.4,157000,2996,https://www.city24.ee/ru/real-estate/skip/skip/4818120,https://c24ee.img-bcg.eu/object/24/1383/2v3576361383.jpg,,2025-05-23T14:10:56+03:00,14,14,1992,59.440639,24.841501
1657,7949909,"Tallinn, Haabersti linnaosa, Merirahu tn-6",Tallinn,Merirahu tn 6,,2,36.1,152900,4235,https://www.city24.ee/ru/real-estate/skip/skip/7949909,https://c24ee.img-bcg.eu/object/24/8006/2v1170878006.jpg,,2025-05-23T14:10:24+03:00,2,4,2013,59.44167,24.62214
1658,3168697,"Tallinn, Mustamäe linnaosa, Keskuse tn-6",Tallinn,Keskuse tn 6,,2,43.6,94900,2176,https://www.city24.ee/ru/real-estate/skip/skip/3168697,https://c24ee.img-bcg.eu/object/24/3986/2v4132623986.jpg,MÜÜGILE ON TULNUD RENOVEERITUD 2-TOALINE,2025-05-23T14:06:17+03:00,5,5,1966,59.400533,24.679591
1659,8391015,"Tallinn, Lasnamäe linnaosa, Lasnamäe tn-18",Tallinn,Lasnamäe tn 18,,2,51.1,142990,2798,https://www.city24.ee/ru/real-estate/skip/skip/8391015,https://c24ee.img-bcg.eu/object/24/1167/2v56781167.jpg,,2025-05-23T14:04:21+03:00,1,15,1979,59.431509,24.787903
1660,7856495,"Tallinn, Lasnamäe linnaosa, Kalevipoja põik-3",Tallinn,Kalevipoja põik 3,,5,79.8,195000,2443,https://www.city24.ee/ru/real-estate/skip/skip/7856495,https://c24ee.img-bcg.eu/object/24/6348/1537716348.jpg,,2025-05-23T13:03:30+03:00,9,9,1979,59.438237854427,24.829509979766
1661,7755617,"Tallinn, Kadriorg, Kiikri tn-6/2",Tallinn,Kiikri tn 6,2,3,66.3,399000,6018,https://www.city24.ee/ru/real-estate/skip/skip/7755617,https://c24ee.img-bcg.eu/object/24/2650/2v3999952650.jpg,Mereäärne korter Kadrioru pargi lähedal.,2025-05-23T12:20:31+03:00,4,5,2023,59.4431109,24.781384
1662,6013959,"Tallinn, Kesklinna linnaosa, Kiikri tn-6/2",Tallinn,Kiikri tn 6,2,3,66.3,399000,6018,https://www.city24.ee/ru/real-estate/skip/skip/6013959,https://c24ee.img-bcg.eu/object/24/3478/2v2554713478.jpg,Mereäärne korter Kadrioru pargi lähedal.,2025-05-23T12:20:12+03:00,4,5,2023,59.4431109,24.781384
1663,2563069,"Tallinn, Haabersti linnaosa, Päevalille tn-10",Tallinn,Päevalille tn 10,,3,63.4,279000,4400,https://www.city24.ee/ru/real-estate/skip/skip/2563069,https://c24ee.img-bcg.eu/object/24/6259/2v1698216259.jpg,"MÖBLEERITUD KORTER, PARKIMISKOHT HINNAS!",2025-05-23T12:18:48+03:00,9,16,2025,59.4221767,24.6456038
1664,8350289,"Tallinn, Mustamäe linnaosa, Mustamäe tee-118",Tallinn,Mustamäe tee 118,,,42,109900,2616,https://www.city24.ee/ru/real-estate/skip/skip/8350289,https://c24ee.img-bcg.eu/object/24/2460/2v4281982460.jpg,2-TOALINE KORTER MUSTAMÄEL!,2025-05-23T12:01:56+03:00,2,5,1964,59.4033699,24.6787234
1665,1932350,"Tallinn, Vanalinn, Lai tn-9",Tallinn,Lai tn 9,,3,119,719900,6049,https://www.city24.ee/ru/real-estate/skip/skip/1932350,https://c24ee.img-bcg.eu/object/24/9619/171249619.jpg,Elegantne korter ajaloolises Tallinna Vanalinnas,2025-05-23T10:19:27+03:00,2,3,2016,59.4387838,24.7442391
